About what proportion of the population of the US is living on farms?,Remembering
Correctly label the brain lobes indicated on the diagram below,Remembering
Define compound interest.,Remembering
Define four types of traceability.,Remembering
Define mercantilism.,Remembering
"Define stream bank, floodplain and substrate.",Remembering
Define the meaning of the Olympic Motto.,Remembering
Draw and label a diagram of a typical stream.,Remembering
Draw the basic outline of a page of notes using the Cornell Method?,Remembering
Draw the block diagram of the central processing unit,Remembering
Draw the flow chart of the PNK system,Remembering
How many instructions in the instruction set of RISC computer?,Remembering
How many kilometers from your home to the university,Remembering
How many loop statement available in c++?,Remembering
How many states are there in USA,Remembering
How many years does this animal live?,Remembering
How much data can be stored in the cach memory,Remembering
How much did he pay for his car,Remembering
How much is your weight,Remembering
How much time did he took to build a house,Remembering
How much water does an elephant drink,Remembering
Identify a phrase as a simile,Remembering
"Identify a property (commutative, additive, etc(",Remembering
Identify fractions from a pictorial representation,Remembering
Identify ordinal positions,Remembering
Identify the correct definition of osmosis.,Remembering
Identify the five major prophets of the Old Testament.,Remembering
Identify the part of a eukaryotic cell.,Remembering
Identify the standard peripheral components of a computer.,Remembering
Identify which word begins with the same sound as the s in sun (Remembering of letter s),Remembering
in which continent does the state of suriname fall,Remembering
in which countries is arabic language spoken,Remembering
In Which part of the world does he live,Remembering
Label any Olympic sporting apparatus with design features.,Remembering
Label the parts of the following insects: Grasshopper,Remembering
Label the parts of the microscope shown on the right,Remembering
List four types of clauses mentioned in the article,Remembering
List reserved words in C programming.,Remembering
List the characteristics peculiar to the Cubist movement.,Remembering
List the levels in Bloom's Taxonomy.,Remembering
List the procedure to draw a mixed potential or Evans' diagram,Remembering
List the steps involved in titration.,Remembering
List three characteristics that are unique to the Cubist movement.,Remembering
List three predominant economic systems that exist,Remembering
Look at the symbol. What is the symbol's purpose on a map?,Remembering
Make a list of facts you learned from the story.,Remembering
Name 5 steps that follow the taking of notes (within 24 hours or less)?,Remembering
Name the artist who painted the Mona Lisa.,Remembering
Name the food groups and at least two items of food in each group.,Remembering
Name the four major food groups.,Remembering
Name the main characters in the story.,Remembering
Name the property that states that,Remembering
Please label the diagram below:,Remembering
Recall basic math facts,Remembering
Recall locations of a historical events,Remembering
Recall the definition of the formula datatype from your assignment 2.,Remembering
Recall the equation for the Ideal Gas Law.,Remembering
Recall the following pictoral example of an implementation of some queue operations,Remembering
recall the supply voltage constraints,Remembering
Recite a policy of immigration in Europe .,Remembering
"Recite the poem ""Auto Wreck"".",Remembering
Recite the principles of the Data Protection Act.,Remembering
Recite the the Gaussian law,Remembering
State four attributes of well engineered software.,Remembering
State how to find a word in a dictionary,Remembering
State the characteristics of each type of corrosion testing studied,Remembering
State the definition of Applying in Bloom's Taxonomy.,Remembering
State the formula for the area of a circle,Remembering
State the guidelines to design an anodic protection system,Remembering
State the pattern for expressing time in French.,Remembering
State the rule for balls and strikes in baseball.,Remembering
State the rule for using a semicolon in a sentence.,Remembering
What are major facts about particular cultures and societies,Remembering
What are the major products and exports of countries,Remembering
What are the representational symbols on maps and charts,Remembering
What are the structure or functions of Congress,Remembering
What are the units of corrosion penetration rates? Relate these to Faraday's law,Remembering
What does ICT stands for.,Remembering
What is  your family name,Remembering
What is a global variable?,Remembering
What is a textual index,Remembering
What is the setting of To Kill a Mockingbird?,Remembering
What is the title of the first movie you saw,Remembering
What season are we in right now?,Remembering
when did saudi arabia start using internet,Remembering
when did the first saudi radio station open,Remembering
When did the second world war happen,Remembering
When did you born ?,Remembering
when was the first airport in the yemen built,Remembering
when was the UN formed,Remembering
Which of the following is the method for determining the volume of a cylinder?,Remembering
Which of the following item does not belong to the set ?,Remembering
Which of the two liquids is hypotonic,Remembering
which part of a data packet is used by a router to determine the destination network,Remembering
Which technology is used by laser printer,Remembering
Who is the first president   of USA,Remembering
who is the founder of the kingdom of saudi Arabia,Remembering
who was the first man on the moon,Remembering
who was the first to compose in the arts of makamat,Remembering
Who was the writer of the Hamilton,Remembering
Compare Calliope with Howie. Use the word bank.,Understanding
Compare historical events to contemporary situations,Understanding
Complete an analogy (analogy tasks are inference tasks),Understanding
Describe 4 types of coupling in software design.,Understanding
Describe how Phillip and Timothy survived on the Cay.,Understanding
Describe in prose what is shown in graph form.,Understanding
Describe in your own words how to borrow a book from the library.,Understanding
Describe in your own words how to copy text from one program into another.,Understanding
Describe in your own words what happens when a stream's velocity slows.,Understanding
Describe in your own words what is meant by a sprained ankle.,Understanding
Describe nuclear transport to a lay person.,Understanding
Describe the Pareto Principle in statistical software quality assurance.,Understanding
Describe what goes in each of the four areas on the first page of notes,Understanding
Describe what took place as the Hato was sinking.,Understanding
Describe how the linear polarization method can yield corrosion rates,Understanding
Describe the major clinical differences between visceral and somatic pain,Understanding
